Animal,Period,Breed,MY_FirstLact
1,7,BrownSwiss,8273.521648
2,4,BrownSwiss,7284.47148
3,3,BrownSwiss,6305.951842
4,5,BrownSwiss,7850.952794
5,8,BrownSwiss,8372.836408
6,1,BrownSwiss,8659.145138
7,6,BrownSwiss,8179.485002
8,2,BrownSwiss,8858.891098
9,3,Holstein,8015.914674
10,5,Holstein,8610.965184
11,6,Holstein,8735.936686
12,7,Holstein,8085.860738
13,8,Holstein,9798.506386
14,4,Holstein,8348.89266
15,1,Holstein,8537.432802
16,2,Holstein,9668.943484
17,8,Shorthorn,8472.36257
18,3,Shorthorn,7065.085108
19,6,Shorthorn,8073.801494
20,4,Shorthorn,6896.252588
21,7,Shorthorn,7624.13252
22,1,Shorthorn,5914.130924
23,2,Shorthorn,8041.314758
24,5,Shorthorn,7596.99528
