Record,Animal,Period,Treatment,MY_ThirdLact
1,1,1,A,10773.52165
2,2,1,A,9784.47148
3,3,1,A,8805.951842
4,4,2,A,10350.95279
5,5,2,A,10872.83641
6,6,2,A,11159.14514
7,7,3,A,10679.485
8,8,3,A,11358.8911
9,9,3,A,10247.77761
10,1,2,B,10515.91467
11,2,2,B,11110.96518
12,3,2,B,11235.93669
13,4,3,B,10585.86074
14,5,3,B,12298.50639
15,6,3,B,10848.89266
16,7,1,B,11037.4328
17,8,1,B,12168.94348
18,9,1,B,11617.19115
19,1,3,C,10972.36257
20,2,3,C,9565.085108
21,3,3,C,10573.80149
22,4,1,C,9396.252588
23,5,1,C,10124.13252
24,6,1,C,8414.130924
25,7,2,C,10541.31476
26,8,2,C,10096.99528
27,9,2,C,10526.21212
