"litter_size","breed"
12,"PolishLandrace"
16,"PolishLandrace"
13,"PolishLandrace"
17,"PolishLandrace"
18,"PolishLandrace"
9,"PolishLandrace"
14,"PolishLandrace"
17,"PolishLandrace"
14,"PolishLandrace"
14,"PolishLandrace"
19,"PolishLandrace"
14,"PolishLandrace"
15,"PolishLandrace"
14,"PolishLandrace"
11,"PolishLandrace"
17,"PolishLandrace"
12,"PolishLandrace"
9,"PolishLandrace"
13,"PolishLandrace"
18,"PolishLandrace"
17,"PolishLandrace"
15,"PolishLandrace"
15,"PolishLandrace"
21,"PolishLandrace"
15,"PolishLandrace"
15,"PolishLandrace"
14,"PolishLandrace"
15,"PolishLandrace"
12,"PolishLandrace"
11,"PolishLandrace"
19,"PolishLandrace"
17,"PolishLandrace"
15,"PolishLandrace"
16,"PolishLandrace"
9,"PolishLandrace"
14,"PolishLandrace"
16,"PolishLandrace"
12,"PolishLandrace"
13,"PolishLandrace"
12,"PolishLandrace"
11,"PolishLandrace"
13,"PolishLandrace"
13,"PolishLandrace"
13,"PolishLandrace"
11,"PolishLandrace"
12,"PolishLargeWhite"
17,"PolishLargeWhite"
13,"PolishLargeWhite"
18,"PolishLargeWhite"
19,"PolishLargeWhite"
9,"PolishLargeWhite"
14,"PolishLargeWhite"
18,"PolishLargeWhite"
14,"PolishLargeWhite"
14,"PolishLargeWhite"
20,"PolishLargeWhite"
14,"PolishLargeWhite"
16,"PolishLargeWhite"
15,"PolishLargeWhite"
10,"PolishLargeWhite"
18,"PolishLargeWhite"
12,"PolishLargeWhite"
9,"PolishLargeWhite"
13,"PolishLargeWhite"
20,"PolishLargeWhite"
18,"PolishLargeWhite"
16,"PolishLargeWhite"
15,"PolishLargeWhite"
22,"PolishLargeWhite"
15,"PolishLargeWhite"
16,"PolishLargeWhite"
14,"PolishLargeWhite"
15,"PolishLargeWhite"
12,"PolishLargeWhite"
11,"PolishLargeWhite"
20,"PolishLargeWhite"
18,"PolishLargeWhite"
16,"PolishLargeWhite"
17,"PolishLargeWhite"
8,"PolishLargeWhite"
14,"PolishLargeWhite"
16,"PolishLargeWhite"
9,"Duroc"
13,"Duroc"
10,"Duroc"
14,"Duroc"
15,"Duroc"
6,"Duroc"
11,"Duroc"
14,"Duroc"
11,"Duroc"
10,"Duroc"
15,"Duroc"
10,"Duroc"
12,"Duroc"
11,"Duroc"
7,"Duroc"
14,"Duroc"
9,"Duroc"
6,"Duroc"
9,"Duroc"
15,"Duroc"
14,"Duroc"
12,"Duroc"
11,"Duroc"
18,"Duroc"
12,"Duroc"
12,"Duroc"
8,"Berkshire"
11,"Berkshire"
8,"Berkshire"
12,"Berkshire"
13,"Berkshire"
5,"Berkshire"
9,"Berkshire"
12,"Berkshire"
9,"Berkshire"
9,"Berkshire"
13,"Berkshire"
9,"Berkshire"
10,"Berkshire"
9,"Berkshire"
6,"Berkshire"
12,"Berkshire"
7,"Berkshire"
5,"Berkshire"
8,"Berkshire"
13,"Berkshire"
12,"Berkshire"
10,"Berkshire"
10,"Berkshire"
16,"Berkshire"
10,"Berkshire"
10,"Berkshire"
9,"Berkshire"
10,"Berkshire"
8,"Berkshire"
6,"Berkshire"
14,"Berkshire"
12,"Berkshire"
10,"Berkshire"
8,"Hampshire"
11,"Hampshire"
9,"Hampshire"
12,"Hampshire"
13,"Hampshire"
5,"Hampshire"
9,"Hampshire"
12,"Hampshire"
10,"Hampshire"
9,"Hampshire"
14,"Hampshire"
9,"Hampshire"
10,"Hampshire"
10,"Hampshire"
6,"Hampshire"
12,"Hampshire"
8,"Hampshire"
5,"Hampshire"
8,"Hampshire"
13,"Hampshire"
12,"Hampshire"
10,"Hampshire"
10,"Hampshire"
16,"Hampshire"
10,"Hampshire"
11,"Hampshire"
10,"Hampshire"
10,"Hampshire"
8,"Hampshire"
7,"Hampshire"
14,"Hampshire"
12,"Hampshire"
10,"Hampshire"
11,"Hampshire"
5,"Hampshire"
9,"Hampshire"
11,"Hampshire"
7,"Hampshire"
8,"Hampshire"
8,"Hampshire"
