"litter_size","parity"
7,"Parity 1"
11,"Parity 1"
8,"Parity 1"
13,"Parity 1"
14,"Parity 1"
4,"Parity 1"
9,"Parity 1"
13,"Parity 1"
9,"Parity 1"
9,"Parity 1"
14,"Parity 1"
9,"Parity 1"
10,"Parity 1"
9,"Parity 1"
5,"Parity 1"
13,"Parity 1"
7,"Parity 1"
4,"Parity 1"
8,"Parity 1"
14,"Parity 1"
13,"Parity 1"
10,"Parity 1"
10,"Parity 1"
17,"Parity 1"
10,"Parity 1"
11,"Parity 1"
9,"Parity 1"
10,"Parity 1"
7,"Parity 1"
6,"Parity 1"
15,"Parity 1"
13,"Parity 1"
10,"Parity 1"
11,"Parity 1"
4,"Parity 1"
9,"Parity 1"
11,"Parity 1"
7,"Parity 1"
8,"Parity 1"
7,"Parity 1"
6,"Parity 1"
8,"Parity 1"
8,"Parity 1"
8,"Parity 1"
6,"Parity 1"
6,"Parity 1"
7,"Parity 1"
9,"Parity 1"
7,"Parity 1"
12,"Parity 1"
4,"Parity 1"
9,"Parity 1"
11,"Parity 1"
6,"Parity 1"
9,"Parity 1"
7,"Parity 1"
6,"Parity 1"
11,"Parity 1"
13,"Parity 1"
8,"Parity 1"
10,"Parity 1"
5,"Parity 1"
8,"Parity 1"
7,"Parity 1"
12,"Parity 1"
9,"Parity 1"
12,"Parity 1"
12,"Parity 1"
11,"Parity 1"
8,"Parity 1"
11,"Parity 1"
10,"Parity 1"
11,"Parity 1"
1,"Parity 1"
9,"Parity 1"
7,"Parity 1"
8,"Parity 1"
10,"Parity 1"
8,"Parity 1"
6,"Parity 1"
7,"Parity 1"
10,"Parity 1"
8,"Parity 1"
11,"Parity 1"
5,"Parity 1"
8,"Parity 1"
16,"Parity 1"
13,"Parity 1"
13,"Parity 1"
8,"Parity 2"
12,"Parity 2"
9,"Parity 2"
13,"Parity 2"
15,"Parity 2"
5,"Parity 2"
10,"Parity 2"
14,"Parity 2"
10,"Parity 2"
9,"Parity 2"
15,"Parity 2"
9,"Parity 2"
11,"Parity 2"
10,"Parity 2"
6,"Parity 2"
14,"Parity 2"
8,"Parity 2"
5,"Parity 2"
9,"Parity 2"
15,"Parity 2"
14,"Parity 2"
11,"Parity 2"
11,"Parity 2"
18,"Parity 2"
11,"Parity 2"
11,"Parity 2"
10,"Parity 2"
11,"Parity 2"
8,"Parity 2"
7,"Parity 2"
15,"Parity 2"
14,"Parity 2"
11,"Parity 2"
12,"Parity 2"
5,"Parity 2"
10,"Parity 2"
12,"Parity 2"
8,"Parity 2"
8,"Parity 2"
8,"Parity 2"
7,"Parity 2"
9,"Parity 2"
9,"Parity 2"
9,"Parity 2"
7,"Parity 2"
7,"Parity 2"
8,"Parity 2"
10,"Parity 2"
8,"Parity 2"
13,"Parity 2"
5,"Parity 2"
9,"Parity 2"
12,"Parity 2"
7,"Parity 2"
10,"Parity 2"
7,"Parity 2"
7,"Parity 2"
12,"Parity 2"
14,"Parity 2"
9,"Parity 2"
11,"Parity 2"
6,"Parity 2"
9,"Parity 2"
8,"Parity 2"
13,"Parity 2"
9,"Parity 2"
13,"Parity 3"
11,"Parity 3"
12,"Parity 3"
10,"Parity 3"
9,"Parity 3"
14,"Parity 3"
12,"Parity 3"
10,"Parity 3"
12,"Parity 3"
12,"Parity 3"
9,"Parity 3"
12,"Parity 3"
11,"Parity 3"
12,"Parity 3"
13,"Parity 3"
10,"Parity 3"
13,"Parity 3"
14,"Parity 3"
12,"Parity 3"
9,"Parity 3"
10,"Parity 3"
11,"Parity 3"
11,"Parity 3"
8,"Parity 3"
11,"Parity 3"
11,"Parity 3"
12,"Parity 3"
11,"Parity 3"
13,"Parity 3"
13,"Parity 3"
9,"Parity 3"
10,"Parity 3"
11,"Parity 3"
11,"Parity 3"
14,"Parity 3"
12,"Parity 3"
11,"Parity 3"
13,"Parity 3"
12,"Parity 3"
13,"Parity 3"
13,"Parity 3"
12,"Parity 3"
12,"Parity 3"
12,"Parity 3"
13,"Parity 3"
13,"Parity 3"
13,"Parity 3"
12,"Parity 3"
13,"Parity 3"
10,"Parity 3"
10,"Parity 4"
14,"Parity 4"
11,"Parity 4"
16,"Parity 4"
17,"Parity 4"
7,"Parity 4"
12,"Parity 4"
16,"Parity 4"
12,"Parity 4"
11,"Parity 4"
18,"Parity 4"
11,"Parity 4"
13,"Parity 4"
12,"Parity 4"
8,"Parity 4"
16,"Parity 4"
9,"Parity 4"
6,"Parity 4"
10,"Parity 4"
17,"Parity 4"
16,"Parity 4"
13,"Parity 4"
13,"Parity 4"
21,"Parity 4"
13,"Parity 4"
13,"Parity 4"
12,"Parity 4"
12,"Parity 4"
10,"Parity 4"
8,"Parity 4"
18,"Parity 4"
16,"Parity 4"
13,"Parity 4"
14,"Parity 4"
6,"Parity 4"
11,"Parity 4"
14,"Parity 4"
9,"Parity 4"
10,"Parity 4"
9,"Parity 4"
8,"Parity 4"
11,"Parity 4"
11,"Parity 4"
11,"Parity 4"
12,"Parity 5"
11,"Parity 5"
12,"Parity 5"
11,"Parity 5"
10,"Parity 5"
12,"Parity 5"
12,"Parity 5"
10,"Parity 5"
12,"Parity 5"
12,"Parity 5"
10,"Parity 5"
12,"Parity 5"
11,"Parity 5"
11,"Parity 5"
12,"Parity 5"
10,"Parity 5"
12,"Parity 5"
12,"Parity 5"
12,"Parity 5"
10,"Parity 5"
10,"Parity 5"
11,"Parity 5"
11,"Parity 5"
9,"Parity 5"
11,"Parity 5"
11,"Parity 5"
12,"Parity 5"
12,"Parity 6"
16,"Parity 6"
13,"Parity 6"
17,"Parity 6"
18,"Parity 6"
9,"Parity 6"
14,"Parity 6"
17,"Parity 6"
14,"Parity 6"
13,"Parity 6"
18,"Parity 6"
13,"Parity 6"
15,"Parity 6"
14,"Parity 6"
10,"Parity 6"
17,"Parity 6"
12,"Parity 6"
9,"Parity 7+"
7,"Parity 7+"
9,"Parity 7+"
7,"Parity 7+"
6,"Parity 7+"
10,"Parity 7+"
8,"Parity 7+"
7,"Parity 7+"
8,"Parity 7+"
9,"Parity 7+"
6,"Parity 7+"
9,"Parity 7+"
8,"Parity 7+"
8,"Parity 7+"
10,"Parity 7+"
7,"Parity 7+"
9,"Parity 7+"
