"breed","litter_size"
"Chihuahua",2
"Chihuahua",4
"Chihuahua",6
"Chihuahua",2
"Chihuahua",3
"Chihuahua",7
"Chihuahua",1
"Chihuahua",4
"Chihuahua",0
"Chihuahua",5
"Chihuahua",4
"Chihuahua",3
"Chihuahua",4
"Chihuahua",0
"Chihuahua",5
"Chihuahua",3
"Chihuahua",5
"Chihuahua",2
"Chihuahua",3
"Chihuahua",4
"Chihuahua",3
"Chihuahua",4
"Chihuahua",3
"Chihuahua",3
"Chihuahua",2
"Chihuahua",3
"Chihuahua",0
"Chihuahua",4
"Chihuahua",3
"Chihuahua",5
"Chihuahua",1
"Chihuahua",0
"Chihuahua",5
"Chihuahua",3
"Chihuahua",0
"Chihuahua",5
"Chihuahua",4
"Chihuahua",4
"Chihuahua",0
"Chihuahua",3
"Chihuahua",2
"Chihuahua",6
"Chihuahua",2
"Chihuahua",5
"Chihuahua",3
"Chihuahua",1
"Chihuahua",2
"Chihuahua",6
"Chihuahua",1
"Chihuahua",5
"Chihuahua",4
"Chihuahua",3
"Chihuahua",1
"Chihuahua",0
"Chihuahua",5
"Chihuahua",7
"Chihuahua",2
"Chihuahua",1
"Chihuahua",1
"Chihuahua",5
"Chihuahua",2
"Chihuahua",3
"Chihuahua",2
"Chihuahua",3
"Chihuahua",1
"Chihuahua",2
"Chihuahua",4
"Chihuahua",1
"Chihuahua",1
"Chihuahua",4
"Chihuahua",6
"Chihuahua",1
"Chihuahua",2
"Chihuahua",2
"Chihuahua",2
"Chihuahua",5
"Chihuahua",2
"Chihuahua",6
"Chihuahua",1
"Chihuahua",1
"Chihuahua",1
"Chihuahua",0
"Chihuahua",5
"Chihuahua",3
"Chihuahua",2
"Chihuahua",1
"Chihuahua",2
"Chihuahua",5
"Chihuahua",3
"Chihuahua",1
"Chihuahua",2
"Chihuahua",3
"Chihuahua",1
"Chihuahua",3
"Chihuahua",0
"Chihuahua",3
"Chihuahua",3
"Chihuahua",1
"Chihuahua",4
"Chihuahua",3
"Labrador",1
"Labrador",6
"Labrador",8
"Labrador",8
"Labrador",9
"Labrador",12
"Labrador",11
"Labrador",2
"Labrador",5
"Labrador",6
"Labrador",5
"Labrador",6
"Labrador",4
"Labrador",10
"Labrador",10
"Labrador",10
"Labrador",5
"Labrador",9
"Labrador",6
"Labrador",12
"Labrador",9
"Labrador",12
"Labrador",12
"Labrador",12
"Labrador",13
"Labrador",8
"Labrador",10
"Labrador",8
"Labrador",7
"Labrador",7
"Labrador",9
"Labrador",6
"Labrador",5
"Labrador",6
"Labrador",4
"Labrador",5
"Labrador",6
"Labrador",0
"Labrador",13
"Labrador",10
"Labrador",5
"Labrador",3
"Labrador",8
"Labrador",6
"Labrador",6
"Labrador",8
"Labrador",10
"Labrador",9
"Labrador",6
"Labrador",7
"Labrador",12
"Labrador",7
"Labrador",8
"Labrador",5
"Labrador",12
"Labrador",3
"Labrador",5
"Labrador",9
"Labrador",12
"Labrador",12
"Labrador",7
"Labrador",10
"Labrador",7
"Labrador",13
"Labrador",0
"Labrador",10
"Labrador",5
"Labrador",5
"Labrador",6
"Labrador",8
"Labrador",2
"Labrador",7
"Labrador",4
"Labrador",5
"Labrador",6
"Labrador",11
"Labrador",5
"Labrador",8
"Labrador",9
"Labrador",8
"Labrador",6
"Labrador",3
"Labrador",7
"Labrador",5
"Labrador",7
"Labrador",3
"Labrador",5
"Labrador",8
"Labrador",2
"Labrador",8
"Labrador",12
"Labrador",11
"Labrador",3
"Labrador",7
"Labrador",6
"Labrador",4
"Labrador",9
"Labrador",7
"Labrador",9
"Labrador",12
"GermanShephard",10
"GermanShephard",12
"GermanShephard",6
"GermanShephard",12
"GermanShephard",5
"GermanShephard",8
"GermanShephard",4
"GermanShephard",3
"GermanShephard",6
"GermanShephard",9
"GermanShephard",8
"GermanShephard",5
"GermanShephard",9
"GermanShephard",8
"GermanShephard",2
"GermanShephard",9
"GermanShephard",5
"GermanShephard",7
"GermanShephard",11
"GermanShephard",7
"GermanShephard",6
"GermanShephard",3
"GermanShephard",4
"GermanShephard",4
"GermanShephard",4
"GermanShephard",9
"GermanShephard",10
"GermanShephard",10
"GermanShephard",1
"GermanShephard",6
"GermanShephard",8
"GermanShephard",12
"GermanShephard",5
"GermanShephard",11
"GermanShephard",10
"GermanShephard",7
"GermanShephard",6
"GermanShephard",10
"GermanShephard",13
"GermanShephard",6
"GermanShephard",10
"GermanShephard",3
"GermanShephard",7
"GermanShephard",10
"GermanShephard",8
"GermanShephard",3
"GermanShephard",6
"GermanShephard",3
"GermanShephard",11
"GermanShephard",6
"GermanShephard",7
"GermanShephard",11
"GermanShephard",6
"GermanShephard",5
"GermanShephard",9
"GermanShephard",5
"GermanShephard",9
"GermanShephard",4
"GermanShephard",7
"GermanShephard",12
"GermanShephard",10
"GermanShephard",3
"GermanShephard",11
"GermanShephard",3
"GermanShephard",7
"GermanShephard",4
"GermanShephard",11
"GermanShephard",6
"GermanShephard",6
"GermanShephard",6
"GermanShephard",6
"GermanShephard",7
"GermanShephard",5
"GermanShephard",7
"GermanShephard",8
"GermanShephard",6
"GermanShephard",10
"GermanShephard",7
"GermanShephard",2
"GermanShephard",14
"GermanShephard",8
"GermanShephard",2
"GermanShephard",9
"GermanShephard",11
"GermanShephard",14
"GermanShephard",5
"GermanShephard",6
"GermanShephard",9
"GermanShephard",3
"GermanShephard",3
"GermanShephard",9
"GermanShephard",8
"GermanShephard",9
"GermanShephard",5
"GermanShephard",12
"GermanShephard",1
"GermanShephard",14
"GermanShephard",14
"GermanShephard",12
"GermanShephard",5
"GreatDane",4
"GreatDane",11
"GreatDane",10
"GreatDane",10
"GreatDane",9
"GreatDane",8
"GreatDane",11
"GreatDane",15
"GreatDane",6
"GreatDane",6
"GreatDane",13
"GreatDane",9
"GreatDane",16
"GreatDane",8
"GreatDane",3
"GreatDane",3
"GreatDane",7
"GreatDane",10
"GreatDane",7
"GreatDane",15
"GreatDane",10
"GreatDane",16
"GreatDane",5
"GreatDane",12
"GreatDane",9
"GreatDane",6
"GreatDane",5
"GreatDane",9
"GreatDane",10
"GreatDane",6
"GreatDane",9
"GreatDane",4
"GreatDane",8
"GreatDane",6
"GreatDane",9
"GreatDane",10
"GreatDane",3
"GreatDane",10
"GreatDane",14
"GreatDane",4
"GreatDane",13
"GreatDane",11
"GreatDane",7
"GreatDane",8
"GreatDane",13
"GreatDane",9
"GreatDane",10
"GreatDane",15
"GreatDane",16
"GreatDane",13
"GreatDane",10
"GreatDane",8
"GreatDane",16
"GreatDane",6
"GreatDane",13
"GreatDane",7
"GreatDane",10
"GreatDane",16
"GreatDane",9
"GreatDane",4
"GreatDane",15
"GreatDane",9
"GreatDane",6
"GreatDane",6
"GreatDane",3
"GreatDane",8
"GreatDane",5
"GreatDane",11
"GreatDane",16
"GreatDane",8
"GreatDane",8
"GreatDane",8
"GreatDane",4
"GreatDane",13
"GreatDane",4
"GreatDane",15
"GreatDane",8
"GreatDane",12
"GreatDane",16
"GreatDane",12
"GreatDane",10
"GreatDane",13
"GreatDane",14
"GreatDane",10
"GreatDane",12
"GreatDane",10
"GreatDane",12
"GreatDane",7
"GreatDane",11
"GreatDane",5
"GreatDane",12
"GreatDane",8
"GreatDane",9
"GreatDane",6
"GreatDane",4
"GreatDane",10
"GreatDane",5
"GreatDane",12
"GreatDane",13
"GreatDane",5
